Area Code,Area Name,Count,Denominator,Indicator ID,Lower CI 95.0 limit,Lower CI 99.8 limit,Parent Code,Upper CI 95.0 limit,Upper CI 99.8 limit,Value
E92000001,England,437891.0,6893231.0,90933,6.33429480724484,6.32383090377721,E92000001,6.37071034057744,6.38124653029977,6.35247825003978
E92000001,England,38605.37,4655324.0,93769,816.5770616,811.8630179,nan,833.0885728,837.8841517,824.8017802
E08000030,Walsall,19271.0,287139.0,90933,6.620398372,6.568551375,E92000001,6.803234202,6.856903868,6.711383685
E06000021,Stoke-on-Trent,452.04,129896.0,93769,340.0814736,321.7037466,E92000001,410.0696832,431.6252189,373.8562464
E08000024,Sunderland,1746.46,134180.0,93769,1373.28756,1334.462221,E92000001,1514.418713,1556.513628,1442.604083
E10000014,Hampshire,9141.29,687770.0,93769,1243.160858,1228.361808,E92000001,1295.543353,1310.873662,1269.14967
E06000011,East Riding of Yorkshire,22140.0,308197.0,90933,7.093101984,7.041219608,E92000001,7.275126146,7.328689164,7.183716908
E06000024,North Somerset,12639.0,182439.0,258,6.811996514,6.746285477,E92000001,7.044946185,7.113512293,6.927795044
E08000035,Leeds,3081.47,808443.0,93769,443.5963364,434.4788979,E92000001,476.3519438,486.0410669,459.7559885
E08000009,Trafford,1619.52,114792.0,93769,1579.008623,1533.940026,E92000001,1743.13457,1792.151231,1659.563081
E10000012,Essex,93536.0,1444705.0,90933,6.434376072,6.41140494,E92000001,6.514599849,6.537935126,6.474401348
E92000001,England,30558.34,4787905.0,93769,747.2874791,742.4316364,nan,764.3165988,769.2669519,755.7660585
E06000019,Herefordshire,1589.81,91837.0,93769,1416.426133,1375.668987,E92000001,1564.919463,1609.281752,1489.295249
E08000033,Calderdale,14123.0,166959.0,94192,8.23118047427865,,E92000001,8.70705800407125,,8.459
E06000037,West Berkshire,680.26,79642.0,93769,833.6787664,796.8203125,E92000001,971.5900618,1013.55875,900.6768387
E06000045,Southampton,237.58,123533.0,93769,213.6562478,197.5276225,E92000001,277.3812201,297.4912949,243.9858586
E09000028,Southwark,1305.29,148252.0,93769,1648.098222,1590.901623,E92000001,1857.569946,1920.377336,1750.689106
E92000001,England,22688.76,2146442.0,93769,1205.830181,1196.693727,E92000001,1237.9286,1247.271776,1221.800677
E92000001,England,,,93769,,,E92000001,,,
E06000006,Halton,3960.0,107589.0,258,3.569475393,3.507482226,E92000001,3.79439742,3.861576218,3.680673675
E06000049,Cheshire East,15927.0,325987.0,258,4.812251758,4.770449265,E92000001,4.960108673,5.003580566,4.885777654
E08000023,South Tyneside,6895.0,128797.0,258,5.231720479,5.162780949,E92000001,5.477060491,5.550183609,5.35338556
E92000001,England,4221.83,2224751.0,93769,185.2692361,182.0081426,E92000001,196.9246093,200.3595457,191.0306183
E06000061,North Northamptonshire,23522.0,359052.0,90933,6.470581263,6.424664526,E92000001,6.632394533,6.679773992,6.551140225
E06000052,Cornwall,687.94,297333.0,93769,168.0588834,160.6139422,E92000001,195.9031359,204.3740846,181.5879934
E92000001,England,36860.87,4900336.0,93769,697.073747526546,692.954444667792,E92000001,711.505455167384,715.697688864962,704.26183894952
E08000017,Doncaster,2600.72,308237.0,93769,827.1146939,808.612383,E92000001,893.7967588,913.565646,859.9722615
E06000052,Cornwall,22513.0,476776.0,258,4.66200499,4.627866768,E92000001,4.782395986,4.817679567,4.721923922
E92000001,England,278694.0,6951344.0,258,3.99465233232916,3.98628013422331,E92000001,4.02381910905749,4.03226683743712,4.00921030523018
E06000049,Cheshire East,14375.0,312997.6995,258,4.519786055,4.478490528,E92000001,4.6664307,4.709475594,4.592685513
E06000034,Thurrock,6592.0,130792.0,258,4.922557115,4.856211584,E92000001,5.159567709,5.230060366,5.040063612
E92000001,England,33014.03,5392658.0,93769,563.9991965,560.4759703,nan,576.3496928,579.9388663,570.1493392
E09000031,Waltham Forest,948.24,137170.0,93769,1119.762482,1075.903748,E92000001,1281.937535,1330.889838,1198.900988
E06000023,Bristol,2457.98,459588.0,93769,736.2399925,719.1825622,E92000001,797.7831316,816.0429124,766.5525639
E06000006,Halton,4099.0,104400.0,258,3.809725719,3.744868182,E92000001,4.045349233,4.115523933,3.926245211
E10000013,Gloucestershire,44853.0,627288.0,90933,7.086813037,7.050402163,E92000001,7.214185967,7.251423194,7.150304167
E06000038,Reading,136.26,87632.0,93769,176.3122561,158.5569123,E92000001,249.6060734,273.3897495,210.6290397
E10000034,Worcestershire,24995.0,465420.4072,258,5.306019202,5.269213906,E92000001,5.435363558,5.473326251,5.370413419
E09000010,Enfield,380.46,173733.0,93769,239.3684033,225.0920995,E92000001,294.2101958,311.1992187,265.7475865
E08000003,Manchester,3166.19,579917.0,93769,954.792761364116,934.986686718959,E92000001,1025.91458868117,1046.94526937374,989.886393671614
E06000051,Shropshire,14474.0,251771.0,258,5.658627334,5.607263955,E92000001,5.840138719,5.893624439,5.74887497
E09000001,City of London,,,93769,,,E92000001,,,
E92000001,England,154037.0,4256283.0,258,3.60134864065113,3.59117875257705,E92000001,3.63683461471496,3.64712890485388,3.6190497671325
E08000010,Wigan,2431.41,160955.0,93769,1571.838883,1534.525574,E92000001,1706.494478,1746.452815,1638.156918
E92000001,England,62148.47,28307795.0,93769,222.3615007,221.3474405,E92000001,225.9059171,226.9337737,224.1284583
E09000030,Tower Hamlets,919.53,148336.0,93769,1691.2043,1621.38062,E92000001,1949.650239,2027.716384,1817.273044
E09000012,Hackney,3945.0,218069.9293,258,1.753993608,1.722995681,E92000001,1.865423791,1.899078273,1.809052726
E92000001,England,1962990.0,49277553.0,258,3.978080744,3.974936865,nan,3.989000523,3.992155655,3.9835379
E08000036,Wakefield,419.06,175183.0,93769,212.8510234,200.9052055,E92000001,258.5136076,272.6122554,234.8559853
E10000017,Lancashire,10606.51,1236228.0,93769,792.7706382,784.0204083,E92000001,823.6973705,832.7388117,808.1230549
E08000033,Calderdale,6702.0,171073.0,258,3.826643013,3.775078182,E92000001,4.010186266,4.064996704,3.917625809
E92000001,England,18607.87,1720404.0,93769,1278.947181,1268.157246,nan,1316.905917,1327.965773,1297.823757
E06000045,Southampton,5336.0,230125.0,258,2.257865623,2.22369914,E92000001,2.380840213,2.417498812,2.318739815
E92000001,England,143282.0,3245079.0,258,4.39306456203057,4.3802547942151,nan,4.43776828444297,4.45073841787173,4.41536246112961
E08000028,Sandwell,2067.08,170114.0,93769,1555.08172,1515.392265,E92000001,1698.800381,1741.550967,1625.772057
E92000001,England,32231.7,2433995.0,93769,1368.94672369957,1360.26600121153,nan,1399.38051061305,1408.22569810187,1384.10100638143
E09000017,Hillingdon,1088.59,151424.0,93769,966.4042762,932.3417281,E92000001,1091.810183,1129.549776,1027.700811
E92000001,England,233823.0,5499349.3557,258,4.23499877269006,4.22532142124888,nan,4.26872565985645,4.2784979801448,4.25183025984057
E09000006,Bromley,1853.86,158883.0,93769,1287.818939,1253.531631,E92000001,1412.279939,1449.366093,1348.980358
E92000001,England,171915.0,3535210.0,258,4.84056351393966,4.82770628528926,nan,4.88540659362639,4.89840958157007,4.86293600663044
E08000005,Rochdale,267.85,110188.0,93769,237.5376143,220.7667553,E92000001,303.2821509,323.9236224,268.9207482
E06000036,Bracknell Forest,631.37,119553.0,93769,632.7368183,603.4855759,E92000001,742.5077344,775.9802489,686.0047883
E10000025,Oxfordshire,4527.56,750230.0,93769,609.754198444624,599.43149823968,E92000001,646.609818110052,657.46337718344,627.97955670932
E06000046,Isle of Wight,188.17,72585.0,93769,158.0994504,144.2996242,E92000001,213.5459841,231.2339098,184.3234986
E08000017,Doncaster,2878.97,314176.0,93769,873.554551365148,854.995591881055,E92000001,940.312251070556,960.07652714919,906.473404697942
E08000026,Coventry,22812.0,403780.0,90933,5.578727449,5.538404851,E92000001,5.721130374,5.762779157,5.649611174
E92000001,England,384974.0,5852347.0,90933,6.5580571466413,6.54651724636579,E92000001,6.59822589784712,6.60985050085886,6.57811302029767
E10000025,Oxfordshire,19467.0,649349.0,258,2.956713019,2.933202314,E92000001,3.039564739,3.063946723,2.997925615
E92000001,England,4823.12,2333707.0,93769,196.9414655,193.702751,nan,208.4942686,211.894216,202.6563837
E06000010,Kingston upon Hull,2028.62999999999,271942.0,93769,853.753285922606,832.082455144342,E92000001,932.257420877741,955.616078484714,892.360775754444
E09000013,Hammersmith and Fulham,1020.78,183310.0,93769,848.7025421,817.5415101,E92000001,963.6542029,998.2954772,904.846978
E92000001,England,61638.34,8485152.0,93769,672.61073,669.5362,E92000001,683.35736,686.47388,677.96806
E92000001,England,33741.16,2674916.0,93769,1707.90607,1697.20771,E92000001,1745.4043,1756.30072,1726.57979
E92000001,England,134422.0,4008768.0,258,3.33562199595434,3.32552579879093,nan,3.37086697601436,3.38109601330846,3.35319978606894
E92000001,England,,,258,,,nan,,,
E09000011,Greenwich,5737.0,226221.0,258,2.471877078,2.435789513,E92000001,2.601394242,2.640005964,2.536015666
E06000041,Wokingham,4281.0,113192.4506,258,3.672381775,3.610801925,E92000001,3.894120487,3.960619066,3.782054348
